docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uiuo.ark+=13960=t19k51v83,"Dickens, Charles",,,m,uk,1812-1870.,1852,,1852,41,12,v.3,Leipzig;Bernh. Tauchnitz Jun.;1852-1853.,Legal stories|NotFiction|Bibliographies|Fiction|Bildungsromans|Didactic fiction|Domestic fiction|ContainsBiogMaterial,"Illegitimate children|Dickens, Charles|Inheritance and succession|Fiction|London (England)|Social problems|Young women|Guardian and ward|1812-1870",novel,Bleak house
njp.32101068178688,"Herbert, Henry William",,,m,uk,1807-1858.,1853,,1853,2,2,,New York;Redfield;1853.,Fiction,Fiction|History,novel,"The chevaliers of France, from the crusaders to the marechals of Louis XIV"
uc2.ark+=13960=t08w3hh7p,"Paul, Howard",,,m,,1835-1905.,1853,,1853,2,2,,New York;Garrett & co.;1853.,,,shortstories,Dashes of American humor
mdp.39015059378540,"Yonge, Charlotte M. (Charlotte Mary)","Yonge, Charlotte Mary",,f,uk,1823-1901.,1854,,1854,10,8,v.1,London;J. W. Parker and son;1854.,Fiction|NotFiction,,novel,"Heartsease; or, the brother's wife"
uc2.ark+=13960=t91837s15,"Otis, Harrison Gray, Mrs",,,f,us,1796-1873.,1854,,1854,2,2,,"Boston;Ticknor, Reed, and Fields;1854.",,,novel,The Barclays of Boston
nyp.33433073355830,"Gogolʹ, Nikolaĭ Vasilʹevich","Gogol, Nikolai Vasilievich",,m,ukr,1809-1852.,1854,,1852,2,2,v. 2.,"London;Hurst and Blackett, Publishers;1854.",Fiction,Fiction|1533-1917|Social life and customs,novel,Home life in Russia
loc.ark+=13960=t3pv6rx2w,"Hopkins, Samuel",,,m,us,1807-1887.,1856,,1856,4,4,,"Boston;J. P. Jewett;New York;Sheldon, Blakeman;1856.",,"1580-1631|Smith, John|History|Virginia|Colonial period, ca. 1600-1775",novel,The youth of the Old Dominion
uiuo.ark+=13960=t3nw02p9m,"Ponsonby, Emily",,,f,uk,1817-1877,1856,,1856,2,2,v.1,London;Hurst and Blackett;1856.,,,novel,The young Lord
nyp.33433082514716,"Malory, Thomas, Sir",,,,,active 15th century.,1858,,1858,19,9,v. 1,London;J.R. Smith;1858.,Bibliographies|Fiction|NotFiction,Arthurian romances|Knights and knighthood|Kings and rulers|Romances,reprint,La mort d'Arthure. The history of King Arthur and of the knights of the Round Table
uiuo.ark+=13960=t3tt56p15,"Lee, Holme","Parr, Harriet","Lee, Holme",f,uk,1828-1900.,1859,,1859,4,4,v.3,"London;Smith, Elder;1859.",Fiction,American fiction,novel,Against wind and tide
mdp.39015063543824,"Brough, Robert B. (Robert Barnabas)",,,m,ir,1828-1860.,1860,,1860,2,2,v.1,London;W. Kent & co.;1860.,Fiction,,novel,"Which is which? or, Miles Cassidy's contract. A picture story"
uiuo.ark+=13960=t3bz6t881,"Sala, George Augustus",,,m,uk,1828-1895.,1860,,1860,6,6,v.3,London;Charles F. Skeet;1860.,,,novel,"The Baddington peerage: who won, and who wore it"
uc1.b269192,"Vidocq, Eug??ne Fran?_ois",,"Vicdocq, Eugénge François (ghostwritten)",m,fr,1775-1857,1860,1828,1860,2,2,,New York;G. Routledge;186-?,,"Criminals|Vidocq, Eug????ne Fran???_ois|France|1775-1857",reprint,"Vidocq, the French police spy"
