docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015002742560	Rooke, Daphne	Rooke, Daphne	1914-	1957	1957	s	1957	    	Boston|Houghton Mifflin Co.|1957	1957		Fiction				1803402.0	mau	1377498	2	2	2			Wizards' country / | $c: by Daphne Rooke.		True	Wizards' country
mdp.39015059771025	Richter, Conrad	Richter, Conrad	1890-1968.	1957	1957	s	1957	    	New York|Alfred A. Knopf|1961.	1961		Fiction	Fiction|History	Pennsylvania		67302194.0	nyu	5212442	1	1	1			The free man / | $c: by Conrad Richter.		True	The free man
mdp.39015014538360	Abbas, Zainab Ghulam	Abbas, Zainab Ghulam		1957	1957	s	1957	    	Karachi|Pakistan Publications|1957	1957		NotFiction	Folklore|Pakistan|India|Tales		GR305.A2	4372098.0	pk 	1880967	2	3	3			Folk tales of Pakistan. | $c: Sketches by Hanif Ramay.		True	Folk tales of Pakistan
inu.39000005830067				1957	1957	m	1957	9999	Peking|Foreign Languages Press|1957-	1957		NotFiction	Social life and customs|Tales|Folklore|China	China		3945891.0	ch 	6943254	1	1	1	v.1	1.0	Folk tales from China; | 1st series.		True	Folk tales from China; 1st series
mdp.39076006981612	Lenski, Lois	Lenski, Lois	1893-1974.	1957	1957	s	1957	    	Philadelphia|Lippincott|1957.	1957	[1st ed.]	Fiction				301257.0	xx 	9911344	1	1	1			Houseboat girl.		True	Houseboat girl
mdp.39015000631708	Waugh, Evelyn	Waugh, Evelyn	1903-1966.	1957	1957	s	1957	    	London|Chapman & Hall|1957.	1957		UnknownGenre|NotFiction				1806253.0	enk	1775872	1	2	2			The ordeal of Gilbert Pinfold; | a conversation piece.		True	The ordeal of Gilbert Pinfold; a conversation piece
uc1.b4395449	Schoeman, P. J. (Pieter Johannes)	Schoeman, P. J. (Pieter Johannes)	1903-1988.	1958	1958	s	1958	    	Cape town|H. Timmins|1958?	1958		NotFiction	Tales, San|San (African people)		GR360.B9S3	3797037.0	sa 	6232776	1	1	1			Hunters of the desert land. | $c: Illustrated by E. Toussaint Van Hove.		True	Hunters of the desert land
mdp.39076006766518	Waugh, Evelyn	Waugh, Evelyn	1903-1966.	1958	1958	s	1958	    	London|Chapman & Hall|1958	1958	Uniform ed.	Fiction				6963360.0	enk	9916990	1	1	1			The loved one : | an Anglo-American tragedy / | $c: by Evelyn Waugh ; illustrated by Stuart Boyle.		True	The loved one : an Anglo-American tragedy
uc1.b4393863	Lin, Hazel	Lin, Hazel	1913-	1958	1958	s	1958	    	New York|Pageant Press|c1958.	1958	1st ed.	Fiction			PZ4.L735Mo	8420942.0	nyu	6232417	1	1	1			The moon vow / | $c: by Hazel Lin.		True	The moon vow
uc1.$b105597	Selby, John	Selby, John	b. 1897.	1958	1958	s	1958	    	New York|Putnam|1958	1958		Fiction	History|San Jose, California	San Francisco (Calif.)|Winchester House	PZ3.S46304Day	1460229.0	nyu	6603659	1	1	1			The days dividing.		True	The days dividing
mdp.39015020686518	Lamming, George	Lamming, George	1927-	1958	1958	s	1958	    	London|M. Joseph|1958	1958		NotFiction				1434943.0	enk	536941	2	2	2			Of age and innocence.		True	Of age and innocence
uc1.$b103853	Kubly, Herbert	Kubly, Herbert		1958	1958	s	1958	    	New York|Simon and Schuster|1958.	1958		Fiction			PZ4.K948Var	311948.0	nyu	6602638	1	1	1			Varieties of love; | [stories]		True	Varieties of love; [stories]
uc1.b3727846	Stacton, David	Stacton, David	1925-1968.	1958	1958	s	1958	    	London|Faber and Faber|1958.	1958		NotFiction	Akhenaton|Queen of Egypt|Fiction|Nefertiti|14th cent. B.C|King of Egypt		PZ4.S775On	5957067.0	enk	1186210	1	1	1			On a balcony / | $c: David Stacton.		True	On a balcony
uc1.$b101980	Hiscock, Robin	Hiscock, Robin	1929-	1958	1958	s	1958	    	New York|Knopf|1958.	1958	[1st American ed.]	Fiction			PZ4.H6733Las 2	1813996.0	nyu	6601515	1	1	1			The last run south.		True	The last run south
uc1.b4386662	Houghton, Norris	Houghton, Norris		1958	1958	s	1958	    	New York|Dell Pub. Co.|1958	1958		Fiction	Short stories, English|Short stories, Russian|Translations into English|Translations from Russian			263105.0	nyu	6230878	1	1	1			Great Russian short stories. | $c: Edited and introduced by Norris Houghton		True	Great Russian short stories
mdp.39015000540891	Pacey, Desmond	Pacey, Desmond	1917-1975.	1958	1958	s	1958	    	Toronto|Ryerson Press|1958	1958	The picnic.--The boat.--That day in the bush.--The mirror.--The black house.--The test.--The Misses York.--Silo.--No young man.--The hired man.--The trespasser.--The field of oats.--Aunt Polly.--The odour of incense.--The ghost of Reddleman Lane.--The lost girl.	Fiction			PZ3	3249390.0	onc	673533	1	1	1			The picnic, | and other stories. | $c: Foreword by Roy Daniells.		True	The picnic, and other stories
uc1.$b105566	Schoonover, Lawrence L	Schoonover, Lawrence L	1906-	1958	1958	s	1958	    	Boston|Little, Brown|1958	1958	[1st ed.]	Fiction	Jones, John Paul|1747-1792|Fiction		PZ3.S3728Re	1450928.0	mau	6603635	1	1	1			The revolutionary.		True	The revolutionary
mdp.39015005422327	Hamalian, Leo	Hamalian, Leo		1958	1958	s	1958	    	New York|Putnam|1958	1958		Fiction	Fiction|Collections		PZ1.H176Te	500799.0	nyu	1013612	1	1	1			Ten modern short novels. | $c: Edited and with commentaries by Leo Hamalian and Edmond L. Volpe.		True	Ten modern short novels
