"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"category"	"shorttitle"
"uc1.32106017921492"	"Elgar, Sedan"						1998		1998	1	1		"Seattle|Brob House Books|"	"Fiction"	"Fantasy fiction, American"	"novel"	"Larkinstreet's luck : tales of the American faerie : a novel in ten chapters with epilogue and three interlocutory tales"
"mdp.39015016450259"	"Brunner, John"			"m"	"uk"	"1934-1995."	1969		1969	2	2		"New York|Ace Pub. Corp.|c"	"Fiction"		"novel"	"Times without number"
"mdp.39015047616456"	"Shute, Nevil"			"m"	"uk"	"1899-1960."	1944	1944	1944	3	3		"New York|W. Morrow and Co"	"Fiction"	"Fiction|World War, 1939-1"	"novel"	"Pastoral"
"mdp.39076002869084"	"Michaelian, William"			"m"	"us"		2000		2000	1	1		"Russell, N.Y.|MuscleHead "	"Fiction"		"shortstories"	"Among the living : and other stories"
"hvd.hw28p0"	"Irving, Washington"			"m"	"us"	"1783-1859."	1880		1859	1	1	"v.7"	"New York|G. P. Putnam's s"	"NotFiction"		"novel"	"Irving's works"
"uc2.ark+=13960=t4nk3899g"	"Balzac, Honoré de"			"m"	"fr"	"1799-1850."	1898	1840	1898	1	1		"Philadelphia;George Barri"			"novel"	"Z. Marcas ; The other side of contemporaneous history"
"uc2.ark+=13960=t1rf5n23g"	"Outhwaite, Robert Leonard"			"m"	"uk"	"1869-"	1901		1901	2	2		"New York;Cassell;c1901."			"novel"	"The wisdom of Esau"
"mdp.39015063961679"	"Stevenson, Robert Louis"			"m"	"uk"	"1850-1894."	1900	1886	1894	1	1		"New York|Cosmopolitan Mag"	"Fiction"	"Description and travel"	"novel"	"Kidnapped ... Travels with a donkey in the Cevennes"
"uc1.$b243771"	"Isvaran, Manjeri S"			"m"	"in"		1947		1947	1	1		"Madras|Shakti Karyalayam|"	"Fiction"		"shortstories"	"Fancy tales"
"mdp.39015011404749"	"Farjeon, Joseph Jefferson"			"m"	"uk"	"1883-1955."	1926		1926	1	1		"New York|L. MacVeagh, The"	"Fiction"		"novel"	"No. 17; [a novel, based upon the play]"
"pst.000007302602"	"Busson, Paul"			"m"	"aus"	"1873-1924."	1927		1924	1	1		"London|W. Heinemann, ltd."	"NotFiction|Fantasy fiction"		"novel"	"The man who was born again : a romance"
"uva.x030808693"	"Brittan, Harriette G"			"f"	"uk"	"1823-1897."	1873		1873	1	1		"New York;T. Whittaker;c18"	"NotFiction"	"Zenana missions"	"nonfic"	"Shoshie, the Hindoo Zenana teacher"
"coo.31924002382871"	"Jones, Lewis"			"m"	"uk"	"1897-1939."	1939		1939	1	1		"London|Lawrence & Wishart"	"NotFiction"	"Coal miners|Wales|Coal mi"	"novel"	"We live; the story of a Welsh mining valley"
