docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
mdp.39076005078972	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078980	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078998	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079004	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079020	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079038	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079046	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079053	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079061	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079079	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079087	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079095	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079103	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079111	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079129	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079137	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079145	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079152	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005079160	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
