badname	goodname
uc1.b250104	uc1.$b250104
uc1.b248781	uc1.$b248781
uc1.b298779	uc1.$b298779
uc1.b17109	uc1.$b17109
uc1.b250576	uc1.$b250576
uc1.b250110	uc1.$b250110
uc1.b74583	uc1.$b74583
uc1.b248044	uc1.$b248044
uc1.b249773	uc1.$b249773
uc1.b250594	uc1.$b250594
uc1.b248399	uc1.$b248399
uc1.b250241	uc1.$b250241
uc1.b27916	uc1.$b27916
uc1.b312651	uc1.$b312651
uc1.b282067	uc1.$b282067
uc1.b248453	uc1.$b248453
uc1.b278747	uc1.$b278747
uc1.b254247	uc1.$b254247
uc1.b303133	uc1.$b303133
uc1.b250092	uc1.$b250092
uc1.b278765	uc1.$b278765
uc1.b248748	uc1.$b248748
uc1.b184159	uc1.$b184159
uc1.b250172	uc1.$b250172
uc1.b248404	uc1.$b248404
uc1.b249752	uc1.$b249752
uc1.b251208	uc1.$b251208
uc1.b248568	uc1.$b248568
uc1.b248838	uc1.$b248838
uc1.b316098	uc1.$b316098
uc1.b248405	uc1.$b248405
uc1.b287479	uc1.$b287479
uc1.b254704	uc1.$b254704
uc1.b287474	uc1.$b287474
uc1.b249096	uc1.$b249096
uc1.b278733	uc1.$b278733
uc1.b249879	uc1.$b249879
uc1.b250201	uc1.$b250201
uc1.b135521	uc1.$b135521
uc1.b250233	uc1.$b250233
uc1.b295066	uc1.$b295066
uc1.b249871	uc1.$b249871
uc1.b271536	uc1.$b271536
uc1.b301771	uc1.$b301771
uc1.b278739	uc1.$b278739
uc1.b248486	uc1.$b248486
uc1.b316287	uc1.$b316287
uc1.b83375	uc1.$b83375
uc1.b253227	uc1.$b253227
uc1.b190471	uc1.$b190471
uc1.b243734	uc1.$b243734
uc1.b250091	uc1.$b250091
uc1.b112779	uc1.$b112779
uc1.b296184	uc1.$b296184
uc1.b309785	uc1.$b309785
uc1.b260334	uc1.$b260334
uc1.b250187	uc1.$b250187
uc1.b307791	uc1.$b307791
uc1.b250561	uc1.$b250561
uc1.b250238	uc1.$b250238
uc1.b120214	uc1.$b120214
uc1.b282021	uc1.$b282021
uc1.b299531	uc1.$b299531
uc1.b250125	uc1.$b250125
uc1.b250192	uc1.$b250192
uc1.b282257	uc1.$b282257
uc1.b248420	uc1.$b248420
uc1.b281117	uc1.$b281117
uc1.b291923	uc1.$b291923
uc1.b248815	uc1.$b248815
uc1.b249642	uc1.$b249642
uc1.b243468	uc1.$b243468
uc1.b281890	uc1.$b281890
uc1.b309782	uc1.$b309782
